"","trackid","segmentid","pointid","lat","lon","ele","time","lat.p1","lon.p1","dist","time.p1","timestep","speed.m.per.sec","speed.km.per.h"
"1",0,0,0,-2.901691667,-79.009096667,NA,2015-10-21 13:23:46,-2.9012,-79.009316667,26.6234039557641,2015-10-21 13:23:47,1,26.6234039557641,95.8442542407508
"2",0,0,1,-2.9012,-79.009316667,NA,2015-10-21 13:23:47,-2.901135,-79.0093,2.6191255742297,2015-10-21 13:23:48,1,2.6191255742297,9.42885206722694
"3",0,0,2,-2.901135,-79.0093,NA,2015-10-21 13:23:48,-2.901026667,-79.009353333,6.01944427789042,2015-10-21 13:23:49,1,6.01944427789042,21.6699994004055
"4",0,0,3,-2.901026667,-79.009353333,NA,2015-10-21 13:23:49,-2.900925,-79.009415,8.08745980386126,2015-10-21 13:23:50,1,8.08745980386126,29.1148552939005
"5",0,0,4,-2.900925,-79.009415,NA,2015-10-21 13:23:50,-2.900846667,-79.009455,4.7505276274203,2015-10-21 13:23:51,1,4.7505276274203,17.1018994587131
"6",0,0,5,-2.900846667,-79.009455,NA,2015-10-21 13:23:51,-2.900785,-79.009506667,5.71938954929729,2015-10-21 13:23:52,1,5.71938954929729,20.5898023774702
"7",0,0,6,-2.900785,-79.009506667,NA,2015-10-21 13:23:52,-2.900785,-79.009506667,0,2015-10-21 13:23:53,1,0,0
"8",0,0,7,-2.900785,-79.009506667,NA,2015-10-21 13:23:53,-2.900785,-79.009506667,0,2015-10-21 13:23:54,1,0,0
"9",0,0,8,-2.900785,-79.009506667,NA,2015-10-21 13:23:54,-2.901636667,-79.009085,51.1687966419524,2015-10-21 13:23:55,1,51.1687966419524,184.207667911029
"10",0,0,9,-2.901636667,-79.009085,NA,2015-10-21 13:23:55,-2.901065,-79.009423333,39.7478177983503,2015-10-21 13:23:56,1,39.7478177983503,143.092144074061
"11",0,0,10,-2.901065,-79.009423333,NA,2015-10-21 13:23:56,-2.90098,-79.009481667,6.91848809106827,2015-10-21 13:23:57,1,6.91848809106827,24.9065571278458
"12",0,0,11,-2.90098,-79.009481667,NA,2015-10-21 13:23:57,-2.901021667,-79.009273333,23.3940805467024,2015-10-21 13:23:58,1,23.3940805467024,84.2186899681285
"13",0,0,12,-2.901021667,-79.009273333,NA,2015-10-21 13:23:58,-2.900953333,-79.00931,4.68739631830487,2015-10-21 13:23:59,1,4.68739631830487,16.8746267458975
"14",0,0,13,-2.900953333,-79.00931,NA,2015-10-21 13:23:59,-2.900891667,-79.009366667,6.80347654019281,2015-10-21 13:24:00,1,6.80347654019281,24.4925155446941
"15",0,0,14,-2.900891667,-79.009366667,NA,2015-10-21 13:24:00,-2.900856667,-79.009411667,4.51431035494759,2015-10-21 13:24:01,1,4.51431035494759,16.2515172778113
"16",0,0,15,-2.900856667,-79.009411667,NA,2015-10-21 13:24:01,-2.900856667,-79.009411667,0,2015-10-21 13:24:02,1,0,0
"17",0,0,16,-2.900856667,-79.009411667,NA,2015-10-21 13:24:02,-2.900856667,-79.009411667,0,2015-10-21 13:24:03,1,0,0
"18",0,0,17,-2.900856667,-79.009411667,NA,2015-10-21 13:24:03,-2.90196,-79.008663333,86.7094195993093,2015-10-21 13:24:04,1,86.7094195993093,312.153910557514
"19",0,0,18,-2.90196,-79.008663333,NA,2015-10-21 13:24:04,-2.901658333,-79.00924,64.8826706858012,2015-10-21 13:24:05,1,64.8826706858012,233.577614468884
